,Artist
0,The Tymes
1,The Raiders
2,Peaches & Herb
3,Bobby Vinton
4,Linda Ronstadt
5,Melanie
6,Céline Dion
7,Larry Verne
8,The Temptations
9,Gary Lewis & the Playboys
10,Right Said Fred
11,The Troggs
12,M
13,Aerosmith
14,Zayn
15,Janet Jackson
16,Tina Turner
17,The Bellamy Brothers
18,Fine Young Cannibals
19,C.W. McCall
20,Thelma Houston
21,The Shirelles
22,Nino Tempo and April Stevens
23,Elvis Presley
24,The Black Eyed Peas
25,John Legend
26,The Heights
27,The Bangles
28,Michael Sembello
29,Club Nouveau
30,Foreigner
31,Silver Convention
32,Bryan Adams
33,Vertical Horizon
34,Marvin Gaye
35,Wiz Khalifa
36,The Emotions
37,The Dave Clark Five
38,Tommy Roe
39,Bobby Darin
40,A-ha
41,Olivia Newton-John
42,Tommy James and the Shondells
43,Post Malone
44,Chuck Berry
45,The Angels
46,Janis Joplin
47,Magic!
48,Donny Osmond
49,Charlie Rich
50,Dawn
51,Glen Campbell
52,The Chi-Lites
53,Whitesnake
54,Men at Work
55,The Animals
56,Simon & Garfunkel
57,Steam
58,Looking Glass
59,Taylor Hicks
60,50 Cent
61,The Police
62,Jennifer Lopez
63,The Miracles
64,Herb Alpert
65,Tears for Fears
66,Barry McGuire
67,Bee Gees
68,Love Unlimited Orchestra
69,Pharrell Williams
70,John Sebastian
71,Lou Christie
72,Donovan
73,Bette Midler
74,Hollywood Argyles
75,Amii Stewart
76,Pink Floyd
77,Anita Ward
78,Stevie Wonder
79,Jimmy Soul
80,Bananarama
81,Bob Seger
82,Bad English
83,James Blunt
84,Jan Hammer
85,New Kids on the Block
86,Mary Wells
87,Hi-Five
88,Wild Cherry
89,Janet
90,Patti LaBelle and Michael McDonald
91,Eagles
92,Billy Swan
93,The J. Geils Band
94,The Everly Brothers
95,Chic
96,Prince and the New Power Generation
97,Lady Gaga
98,Monica
99,Avril Lavigne
100,America
101,Terror Squad
102,Blondie
103,Maurice Williams and the Zodiacs
104,Childish Gambino
105,Jim Croce
106,Poison
107,Rihanna
108,Sammy Davis Jr.
109,Bo Donaldson and The Heywoods
110,Next
111,Lauryn Hill
112,Jason Derulo
113,Bobbie Gentry
114,Paul McCartney
115,Gary U.S. Bonds
116,Average White Band
117,Cardi B
118,INXS
119,Michael Damian
120,"Peter, Paul and Mary"
121,The Shangri-Las
122,Milli Vanilli
123,Sonny & Cher
124,The Rooftop Singers
125,Will Smith
126,Ace of Base
127,Bobby Vee
128,Ready for the World
129,Selena Gomez
130,Jonas Brothers
131,Phil Collins
132,George Harrison
133,Mike + the Mechanics
134,T.I.
135,Extreme
136,Bruno Mars
137,Bobby Lewis
138,Minnie Riperton
139,Genesis
140,Belinda Carlisle
141,Seal
142,Neil Diamond
143,Rick Dees and His Cast of Idiots
144,Frankie Avalon
145,The Rolling Stones
146,Ohio Players
147,Roxette
148,Paul Young
149,TLC
150,Los Lobos
151,Jimmy Dean
152,Connie Francis
153,Atlantic Starr
154,Coldplay
155,Snow
156,Joe Dowell
157,Four Tops
158,"Earth, Wind & Fire"
159,Billy Preston
160,Helen Reddy
161,Carly Rae Jepsen
162,Matchbox Twenty
163,Justin Bieber
164,Billy Paul
165,Nilsson
166,U2
167,Steve Lawrence
168,Labelle
169,Billy Vera and the Beaters
170,Prince
171,The Turtles
172,Captain & Tennille
173,Deniece Williams
174,Diana Ross
175,EMF
176,Mary MacGregor
177,John Lennon
178,Yvonne Elliman
179,Gordon Lightfoot
180,Kris Kross
181,Del Shannon
182,Mr. Big
183,Cher
184,Divine
185,Nick Gilder
186,Bruce Channel
187,The Browns
188,Gwen Stefani
189,Three Dog Night
190,Martika
191,The Tornados
192,The Doobie Brothers
193,Air Supply
194,Percy Faith
195,George McCrae
196,Barenaked Ladies
197,Flo Rida
198,Halsey
199,Bon Jovi
200,Mac Davis
201,Rhythm Heritage
202,Madonna
203,Fantasia
204,Montell Jordan
205,Mario
206,The Archies
207,John Waite
208,Starland Vocal Band
209,Jimmy Gilmer and the Fireballs
210,The Beach Boys
211,Louis Armstrong
212,James Ingram
213,The Sylvers
214,Billy Ocean
215,Nelly
216,Ricky Nelson
217,Eric Clapton
218,Nickelback
219,Adele
220,The McCoys
221,Frankie Valli
222,Paper Lace
223,Bonnie Tyler
224,Nelson
225,Dale & Grace
226,Wilson Phillips
227,The Lemon Pipers
228,Kanye West
229,Billie Eilish
230,Rod Stewart
231,Shocking Blue
232,Lionel Richie
233,Commodores
234,Spice Girls
235,Ed Sheeran
236,The Human League
237,UB40
238,The Platters
239,The Notorious B.I.G.
240,The Crystals
241,Stars on 45
242,Bobby Brown
243,Michael Bolton
244,Santo & Johnny
245,Bobby Goldsboro
246,Lulu
247,D4L
248,Paul Anka
249,Crazy Town
250,Starship
251,Kool & the Gang
252,Grand Funk
253,Wings
254,Al Wilson
255,Paul Simon
256,Stevie B
257,Lizzo
258,Terry Jacks
259,Pet Shop Boys
260,The Knack
261,Timmy T
262,The Weeknd
263,The Association
264,Johnny Nash
265,Lil Nas X
266,Surface
267,Kenny Loggins
268,KC and the Sunshine Band
269,Gladys Knight & the Pips
270,Kim Carnes
271,Boyz II Men
272,Usher
273,Travis Scott
274,Don McLean
275,Sheriff
276,Chubby Checker
277,Steve Winwood
278,Johnny Preston
279,The Tokens
